Country,Indicator,Year,Value
ISRAEL,Average length of stay,2017,2.4
ITALY,Number of establishments,2017,32988.0
ITALY,Number of rooms,2017,1086910.0
ITALY,Number of bed-places,2017,2239446.0
ITALY,Occupancy rate / rooms,2017,49.6
ITALY,Occupancy rate / bed-places,2017,46.1
ITALY,Average length of stay,2017,2.93
JAMAICA,Number of establishments,2017,1140.0
JAMAICA,Number of rooms,2017,28689.0
JAMAICA,Number of bed-places,2017,57973.0
JAMAICA,Occupancy rate / rooms,2017,64.9
JAMAICA,Occupancy rate / bed-places,2017,64.3
JAMAICA,Average length of stay,2017,6.6
JAPAN,Number of establishments,2017,50678.0
JAPAN,Number of rooms,2017,1423874.0
JAPAN,Number of bed-places,2017,3481685.0
JAPAN,Occupancy rate / rooms,2017,60.5
JAPAN,Occupancy rate / bed-places,2017,40.1
JAPAN,Average length of stay,2017,1.32
JORDAN,Number of establishments,2017,563.0
JORDAN,Number of rooms,2017,32550.0
JORDAN,Number of bed-places,2017,52535.0
JORDAN,Occupancy rate / rooms,2017,39.4
JORDAN,Occupancy rate / bed-places,2017,34.8
KAZAKHSTAN,Number of establishments,2017,2987.0
KAZAKHSTAN,Number of rooms,2017,65791.0
KAZAKHSTAN,Number of bed-places,2017,152601.0
KAZAKHSTAN,Occupancy rate / bed-places,2017,25.0
KENYA,Occupancy rate / rooms,2017,31.5
KENYA,Occupancy rate / bed-places,2017,31.2
KENYA,Average length of stay,2017,13.0
KIRIBATI,Number of establishments,2017,30.0
KIRIBATI,Number of rooms,2017,340.0
KIRIBATI,Number of bed-places,2017,674.0
"KOREA, REPUBLIC OF",Number of establishments,2017,1844.0
"KOREA, REPUBLIC OF",Number of rooms,2017,189557.0
"KOREA, REPUBLIC OF",Occupancy rate / rooms,2017,60.71
KUWAIT,Number of establishments,2017,90.0
KUWAIT,Number of rooms,2017,7868.0
KUWAIT,Number of bed-places,2017,14075.0
KYRGYZSTAN,Number of establishments,2017,196.0
KYRGYZSTAN,Number of rooms,2017,4229.0
KYRGYZSTAN,Number of bed-places,2017,7700.0
KYRGYZSTAN,Occupancy rate / bed-places,2017,14.2
LAO PEOPLE´S DEMOCRATIC REPUBLIC,Number of establishments,2017,2734.0
LAO PEOPLE´S DEMOCRATIC REPUBLIC,Number of rooms,2017,50600.0
LAO PEOPLE´S DEMOCRATIC REPUBLIC,Number of bed-places,2017,66246.0
LAO PEOPLE´S DEMOCRATIC REPUBLIC,Occupancy rate / bed-places,2017,54.0
LATVIA,Number of establishments,2017,322.0
LATVIA,Number of rooms,2017,12417.0
LATVIA,Number of bed-places,2017,25345.0
LATVIA,Occupancy rate / rooms,2017,46.0
LATVIA,Occupancy rate / bed-places,2017,40.7
LATVIA,Average length of stay,2017,1.8
LEBANON,Number of establishments,2017,579.0
LEBANON,Number of rooms,2017,33989.0
LEBANON,Number of bed-places,2017,126213.0
LEBANON,Occupancy rate / rooms,2017,30.48
LEBANON,Occupancy rate / bed-places,2017,32.77
LEBANON,Average length of stay,2017,3.22
LESOTHO,Number of establishments,2017,159.0
LESOTHO,Number of rooms,2017,3501.0
LESOTHO,Number of bed-places,2017,6881.0
LESOTHO,Occupancy rate / bed-places,2017,20.0
LIECHTENSTEIN,Number of establishments,2017,34.0
LIECHTENSTEIN,Number of rooms,2017,625.0
LIECHTENSTEIN,Number of bed-places,2017,1338.0
LIECHTENSTEIN,Occupancy rate / rooms,2017,37.76
LIECHTENSTEIN,Occupancy rate / bed-places,2017,26.11
LIECHTENSTEIN,Average length of stay,2017,1.82
LITHUANIA,Number of establishments,2017,411.0
LITHUANIA,Number of rooms,2017,13965.0
LITHUANIA,Number of bed-places,2017,28930.0
LITHUANIA,Occupancy rate / rooms,2017,53.7
LITHUANIA,Occupancy rate / bed-places,2017,40.8
LITHUANIA,Average length of stay,2017,1.91
LUXEMBOURG,Number of establishments,2017,229.0
LUXEMBOURG,Number of rooms,2017,7633.0
LUXEMBOURG,Number of bed-places,2017,15726.0
LUXEMBOURG,Occupancy rate / rooms,2017,45.81
LUXEMBOURG,Occupancy rate / bed-places,2017,31.42
LUXEMBOURG,Average length of stay,2017,1.88
"MACAO, CHINA",Number of establishments,2017,111.0
"MACAO, CHINA",Number of rooms,2017,36682.0
"MACAO, CHINA",Number of bed-places,2017,97165.0
"MACAO, CHINA",Occupancy rate / rooms,2017,87.17
"MACAO, CHINA",Occupancy rate / bed-places,2017,52.7
"MACAO, CHINA",Average length of stay,2017,1.48
MADAGASCAR,Number of establishments,2017,2931.0
MADAGASCAR,Number of rooms,2017,26848.0
MADAGASCAR,Number of bed-places,2017,47089.0
MADAGASCAR,Occupancy rate / rooms,2017,0.51
MADAGASCAR,Occupancy rate / bed-places,2017,0.53
MADAGASCAR,Average length of stay,2017,22.0
MALAWI,Average length of stay,2017,10.2
MALAYSIA,Number of establishments,2017,4512.0
MALAYSIA,Number of rooms,2017,292293.0
MALAYSIA,Occupancy rate / rooms,2017,60.6
MALDIVES,Number of establishments,2017,729.0
MALDIVES,Number of rooms,2017,20286.0
MALDIVES,Number of bed-places,2017,40572.0
MALDIVES,Occupancy rate / bed-places,2017,61.0
MALDIVES,Average length of stay,2017,6.2
MALI,Number of establishments,2017,782.0
MALI,Number of rooms,2017,11277.0
MALI,Number of bed-places,2017,17264.0
MALTA,Number of establishments,2017,220.0
MALTA,Number of rooms,2017,18785.0
MALTA,Number of bed-places,2017,38988.0
MALTA,Occupancy rate / bed-places,2017,65.6
MALTA,Average length of stay,2017,6.2
MARTINIQUE,Occupancy rate / rooms,2017,64.2
MARTINIQUE,Average length of stay,2017,8.1
MAURITIUS,Number of establishments,2017,111.0
MAURITIUS,Number of rooms,2017,13511.0
MAURITIUS,Number of bed-places,2017,29650.0
MAURITIUS,Occupancy rate / rooms,2017,77.0
MAURITIUS,Occupancy rate / bed-places,2017,68.0
MEXICO,Number of establishments,2017,21967.0
MEXICO,Number of rooms,2017,794602.0
MEXICO,Number of bed-places,2017,1589204.0
MEXICO,Occupancy rate / rooms,2017,56.62
MEXICO,Average length of stay,2017,3.49
"MOLDOVA, REPUBLIC OF",Number of establishments,2017,137.0
"MOLDOVA, REPUBLIC OF",Number of rooms,2017,3345.0
"MOLDOVA, REPUBLIC OF",Number of bed-places,2017,6560.0
"MOLDOVA, REPUBLIC OF",Occupancy rate / bed-places,2017,25.1
"MOLDOVA, REPUBLIC OF",Average length of stay,2017,2.32
MONACO,Number of establishments,2017,12.0
MONACO,Number of rooms,2017,2298.0
MONACO,Number of bed-places,2017,5130.0
MONACO,Occupancy rate / rooms,2017,65.4
MONACO,Average length of stay,2017,2.47
MONGOLIA,Number of establishments,2017,328.0
MONGOLIA,Number of rooms,2017,6726.0
MONTENEGRO,Number of establishments,2017,336.0
MONTENEGRO,Number of rooms,2017,16717.0
MONTENEGRO,Number of bed-places,2017,39183.0
MONTENEGRO,Occupancy rate / bed-places,2017,24.19
MOROCCO,Number of establishments,2017,3904.0
MOROCCO,Number of rooms,2017,118934.0
MOROCCO,Number of bed-places,2017,251234.0
MOROCCO,Occupancy rate / rooms,2017,43.0
MOROCCO,Occupancy rate / bed-places,2017,35.0
MOROCCO,Average length of stay,2017,2.85
MOZAMBIQUE,Number of establishments,2017,2103.0
MOZAMBIQUE,Number of rooms,2017,34687.0
MOZAMBIQUE,Number of bed-places,2017,56999.0
MOZAMBIQUE,Occupancy rate / bed-places,2017,17.9
MOZAMBIQUE,Average length of stay,2017,1.7
MYANMAR,Number of establishments,2017,1590.0
MYANMAR,Number of rooms,2017,63978.0
MYANMAR,Number of bed-places,2017,127956.0
NAMIBIA,Number of establishments,2017,2195.0
NAMIBIA,Number of rooms,2017,22148.0
NAMIBIA,Occupancy rate / bed-places,2017,36.0
NEPAL,Number of establishments,2017,1102.0
NEPAL,Number of bed-places,2017,39833.0
NEPAL,Average length of stay,2017,12.6
NETHERLANDS,Number of establishments,2017,3636.0
NETHERLANDS,Number of rooms,2017,124049.0
NETHERLANDS,Number of bed-places,2017,270098.0
NETHERLANDS,Occupancy rate / bed-places,2017,50.0
NETHERLANDS,Average length of stay,2017,1.71
NEW ZEALAND,Number of establishments,2017,2656.0
NEW ZEALAND,Number of rooms,2017,88757.0
NEW ZEALAND,Occupancy rate / rooms,2017,59.0
NEW ZEALAND,Average length of stay,2017,1.9
NICARAGUA,Number of establishments,2017,1237.0
NICARAGUA,Number of rooms,2017,16226.0
NICARAGUA,Number of bed-places,2017,27662.0
NICARAGUA,Occupancy rate / rooms,2017,63.37
NICARAGUA,Average length of stay,2017,1.9
NIGER,Number of establishments,2017,164.0
NIGER,Number of rooms,2017,3248.0
NIGER,Number of bed-places,2017,3956.0
NIGER,Occupancy rate / rooms,2017,15.58
NIGER,Average length of stay,2017,2.0
NIGERIA,Number of establishments,2017,28278.0
NIGERIA,Number of bed-places,2017,639972.0
NIGERIA,Average length of stay,2017,7.0
NIUE,Number of establishments,2017,37.0
NIUE,Number of rooms,2017,188.0
NIUE,Number of bed-places,2017,267.0
NORTH MACEDONIA,Number of establishments,2017,274.0
NORTH MACEDONIA,Number of rooms,2017,9335.0
NORTH MACEDONIA,Number of bed-places,2017,20500.0
NORTH MACEDONIA,Occupancy rate / rooms,2017,39.3
NORTH MACEDONIA,Occupancy rate / bed-places,2017,24.3
NORTH MACEDONIA,Average length of stay,2017,2.78
NORTHERN MARIANA ISLANDS,Number of establishments,2017,45.0
NORTHERN MARIANA ISLANDS,Number of rooms,2017,3623.0
NORTHERN MARIANA ISLANDS,Occupancy rate / rooms,2017,90.89
NORWAY,Number of establishments,2017,1067.0
NORWAY,Number of rooms,2017,88062.0
NORWAY,Number of bed-places,2017,189327.0
NORWAY,Occupancy rate / rooms,2017,56.0
NORWAY,Occupancy rate / bed-places,2017,40.0
NORWAY,Average length of stay,2017,1.57
OMAN,Number of establishments,2017,359.0
OMAN,Number of rooms,2017,19520.0
OMAN,Number of bed-places,2017,30489.0
OMAN,Occupancy rate / rooms,2017,45.24
PALAU,Number of rooms,2017,2301.0
PANAMA,Number of establishments,2017,788.0
PANAMA,Number of rooms,2017,31581.0
PANAMA,Number of bed-places,2017,63162.0
PANAMA,Occupancy rate / rooms,2017,47.09
PANAMA,Average length of stay,2017,3.5
PARAGUAY,Number of establishments,2017,905.0
PARAGUAY,Number of rooms,2017,15896.0
PARAGUAY,Number of bed-places,2017,33813.0
PARAGUAY,Occupancy rate / bed-places,2017,60.0
PARAGUAY,Average length of stay,2017,3.5
PERU,Number of establishments,2017,21486.0
PERU,Number of rooms,2017,286471.0
PERU,Number of bed-places,2017,497665.0
PERU,Occupancy rate / rooms,2017,26.59
PERU,Occupancy rate / bed-places,2017,38.79
PERU,Average length of stay,2017,1.36
PHILIPPINES,Number of establishments,2017,696.0
PHILIPPINES,Number of rooms,2017,29219.0
PHILIPPINES,Number of bed-places,2017,58438.0
PHILIPPINES,Occupancy rate / bed-places,2017,64.72
PHILIPPINES,Average length of stay,2017,3.51
POLAND,Number of establishments,2017,4064.0
POLAND,Number of rooms,2017,162512.0
POLAND,Number of bed-places,2017,335917.0
POLAND,Occupancy rate / rooms,2017,48.9
POLAND,Occupancy rate / bed-places,2017,39.3
POLAND,Average length of stay,2017,2.62
PORTUGAL,Number of establishments,2017,5840.0
PORTUGAL,Number of rooms,2017,175056.0
PORTUGAL,Number of bed-places,2017,402832.0
PORTUGAL,Occupancy rate / rooms,2017,66.59
PORTUGAL,Occupancy rate / bed-places,2017,53.61
PORTUGAL,Average length of stay,2017,3.2
PUERTO RICO,Number of establishments,2017,151.0
PUERTO RICO,Number of rooms,2017,15144.0
PUERTO RICO,Occupancy rate / rooms,2017,68.29
PUERTO RICO,Average length of stay,2017,2.48
QATAR,Number of establishments,2017,122.0
QATAR,Number of rooms,2017,25167.0
QATAR,Occupancy rate / rooms,2017,58.0
QATAR,Average length of stay,2017,3.75
REUNION,Number of establishments,2017,75.0
REUNION,Number of rooms,2017,2956.0
REUNION,Number of bed-places,2017,6850.0
REUNION,Occupancy rate / rooms,2017,64.28
REUNION,Average length of stay,2017,9.21
ROMANIA,Number of establishments,2017,7237.0
ROMANIA,Number of rooms,2017,149235.0
ROMANIA,Number of bed-places,2017,319672.0
ROMANIA,Occupancy rate / bed-places,2017,36.5
ROMANIA,Average length of stay,2017,2.2
RUSSIAN FEDERATION,Number of establishments,2017,18753.0
RUSSIAN FEDERATION,Number of rooms,2017,508000.0
RUSSIAN FEDERATION,Number of bed-places,2017,1137000.0
RWANDA,Number of establishments,2017,502.0
RWANDA,Number of rooms,2017,8969.0
RWANDA,Number of bed-places,2017,20054.0
SAINT LUCIA,Number of establishments,2017,111.0
SAINT LUCIA,Number of rooms,2017,4821.0
SAINT LUCIA,Occupancy rate / rooms,2017,66.0
SAINT LUCIA,Average length of stay,2017,8.35
SAINT VINCENT AND THE GRENADINES,Number of rooms,2017,2486.0
SAN MARINO,Number of establishments,2017,22.0
SAN MARINO,Number of rooms,2017,628.0
SAN MARINO,Number of bed-places,2017,1406.0
SAN MARINO,Average length of stay,2017,1.69
SAO TOME AND PRINCIPE,Number of establishments,2017,54.0
SAO TOME AND PRINCIPE,Number of rooms,2017,723.0
SAO TOME AND PRINCIPE,Number of bed-places,2017,1508.0
SAUDI ARABIA,Number of establishments,2017,7099.0
SAUDI ARABIA,Number of rooms,2017,530367.0
SAUDI ARABIA,Number of bed-places,2017,1010680.0
SAUDI ARABIA,Occupancy rate / rooms,2017,64.3
SAUDI ARABIA,Occupancy rate / bed-places,2017,60.8
SAUDI ARABIA,Average length of stay,2017,4.19
SENEGAL,Number of establishments,2017,810.0
SENEGAL,Number of rooms,2017,27000.0
SENEGAL,Number of bed-places,2017,55000.0
SERBIA,Number of establishments,2017,720.0
SERBIA,Number of rooms,2017,26157.0
SERBIA,Number of bed-places,2017,51893.0
SERBIA,Occupancy rate / rooms,2017,36.6
SERBIA,Occupancy rate / bed-places,2017,35.1
SERBIA,Average length of stay,2017,2.31
SEYCHELLES,Number of establishments,2017,585.0
SEYCHELLES,Number of rooms,2017,5692.0
SEYCHELLES,Number of bed-places,2017,11680.0
SEYCHELLES,Occupancy rate / rooms,2017,63.0
SEYCHELLES,Occupancy rate / bed-places,2017,60.0
SEYCHELLES,Average length of stay,2017,9.5
SIERRA LEONE,Number of establishments,2017,100.0
SIERRA LEONE,Number of rooms,2017,2346.0
SIERRA LEONE,Number of bed-places,2017,2565.0
SIERRA LEONE,Occupancy rate / rooms,2017,70.0
SIERRA LEONE,Occupancy rate / bed-places,2017,90.0
SIERRA LEONE,Average length of stay,2017,7.0
SINGAPORE,Number of establishments,2017,420.0
SINGAPORE,Number of rooms,2017,67084.0
SINGAPORE,Occupancy rate / rooms,2017,84.86
SINGAPORE,Average length of stay,2017,3.38
SINT MAARTEN (DUTCH PART),Number of rooms,2017,3017.0
SINT MAARTEN (DUTCH PART),Occupancy rate / bed-places,2017,68.0
SLOVAKIA,Number of establishments,2017,1471.0
SLOVAKIA,Number of rooms,2017,40088.0
SLOVAKIA,Number of bed-places,2017,96776.0
SLOVAKIA,Occupancy rate / rooms,2017,36.5
SLOVAKIA,Occupancy rate / bed-places,2017,31.18
SLOVAKIA,Average length of stay,2017,2.78
SLOVENIA,Number of establishments,2017,698.0
SLOVENIA,Number of rooms,2017,22908.0
SLOVENIA,Number of bed-places,2017,52214.0
SLOVENIA,Occupancy rate / rooms,2017,55.6
SLOVENIA,Occupancy rate / bed-places,2017,50.1
SLOVENIA,Average length of stay,2017,2.44
SOUTH AFRICA,Number of establishments,2017,3005.0
SOUTH AFRICA,Number of rooms,2017,72000.0
SOUTH AFRICA,Occupancy rate / rooms,2017,48.3
SPAIN,Number of establishments,2017,19459.0
SPAIN,Number of rooms,2017,919401.0
SPAIN,Number of bed-places,2017,1911942.0
SPAIN,Occupancy rate / rooms,2017,67.07
SPAIN,Occupancy rate / bed-places,2017,61.03
SPAIN,Average length of stay,2017,3.28
SRI LANKA,Number of establishments,2017,2094.0
SRI LANKA,Number of rooms,2017,35986.0
SRI LANKA,Number of bed-places,2017,74419.0
SRI LANKA,Occupancy rate / rooms,2017,73.27
SRI LANKA,Average length of stay,2017,10.9
STATE OF PALESTINE,Number of establishments,2017,130.0
STATE OF PALESTINE,Number of rooms,2017,7401.0
STATE OF PALESTINE,Number of bed-places,2017,16286.0
STATE OF PALESTINE,Occupancy rate / rooms,2017,20.3
STATE OF PALESTINE,Occupancy rate / bed-places,2017,26.8
STATE OF PALESTINE,Average length of stay,2017,2.85
SWEDEN,Number of establishments,2017,2025.0
SWEDEN,Number of rooms,2017,122948.0
SWEDEN,Number of bed-places,2017,245963.0
SWEDEN,Occupancy rate / rooms,2017,58.3
SWEDEN,Occupancy rate / bed-places,2017,46.0
SWEDEN,Average length of stay,2017,1.6879386775027705
SWITZERLAND,Number of establishments,2017,4878.0
SWITZERLAND,Number of rooms,2017,141404.0
SWITZERLAND,Number of bed-places,2017,275203.0
SWITZERLAND,Occupancy rate / rooms,2017,52.94
SWITZERLAND,Occupancy rate / bed-places,2017,43.04
SWITZERLAND,Average length of stay,2017,2.01
SYRIAN ARAB REPUBLIC,Number of establishments,2017,550.0
SYRIAN ARAB REPUBLIC,Number of rooms,2017,28347.0
SYRIAN ARAB REPUBLIC,Number of bed-places,2017,53301.0
SYRIAN ARAB REPUBLIC,Occupancy rate / rooms,2017,37.0
SYRIAN ARAB REPUBLIC,Occupancy rate / bed-places,2017,38.0
SYRIAN ARAB REPUBLIC,Average length of stay,2017,3.0
TAIWAN PROVINCE OF CHINA,Number of establishments,2017,3402.0
TAIWAN PROVINCE OF CHINA,Number of rooms,2017,187099.0
TAIWAN PROVINCE OF CHINA,Occupancy rate / rooms,2017,64.83
THAILAND,Number of establishments,2017,19533.0
THAILAND,Number of rooms,2017,743107.0
THAILAND,Occupancy rate / rooms,2017,70.58
THAILAND,Average length of stay,2017,2.28
TIMOR-LESTE,Number of establishments,2017,18.0
TIMOR-LESTE,Number of rooms,2017,595.0
TIMOR-LESTE,Number of bed-places,2017,702.0
TOGO,Number of establishments,2017,600.0
TOGO,Number of rooms,2017,7576.0
TOGO,Number of bed-places,2017,8000.0
TOGO,Occupancy rate / rooms,2017,34.2
TOGO,Occupancy rate / bed-places,2017,14.29
TOGO,Average length of stay,2017,2.0
TRINIDAD AND TOBAGO,Number of establishments,2017,590.0
TRINIDAD AND TOBAGO,Number of rooms,2017,7731.0
TRINIDAD AND TOBAGO,Occupancy rate / rooms,2017,60.0
TUNISIA,Number of establishments,2017,848.0
TUNISIA,Number of rooms,2017,117169.0
TUNISIA,Number of bed-places,2017,234338.0
TUNISIA,Occupancy rate / bed-places,2017,34.3
TUNISIA,Average length of stay,2017,5.6
TÜRKIYE,Number of establishments,2017,11151.0
TÜRKIYE,Number of rooms,2017,655355.0
TÜRKIYE,Number of bed-places,2017,1391568.0
TÜRKIYE,Occupancy rate / bed-places,2017,46.17
TÜRKIYE,Average length of stay,2017,2.52
UGANDA,Number of establishments,2017,7235.0
UGANDA,Occupancy rate / rooms,2017,46.4
UGANDA,Occupancy rate / bed-places,2017,23.4
UKRAINE,Number of establishments,2017,2474.0
UKRAINE,Number of rooms,2017,68045.0
UKRAINE,Number of bed-places,2017,132890.0
UKRAINE,Occupancy rate / bed-places,2017,38.6
UKRAINE,Average length of stay,2017,2.01
UNITED ARAB EMIRATES,Number of establishments,2017,1058.0
UNITED ARAB EMIRATES,Number of rooms,2017,162225.0
UNITED ARAB EMIRATES,Number of bed-places,2017,324450.0
UNITED ARAB EMIRATES,Occupancy rate / rooms,2017,76.16
UNITED ARAB EMIRATES,Average length of stay,2017,3.17
UNITED KINGDOM,Occupancy rate / rooms,2017,73.0
UNITED KINGDOM,Occupancy rate / bed-places,2017,52.0
UNITED STATES OF AMERICA,Number of establishments,2017,55458.0
UNITED STATES OF AMERICA,Number of rooms,2017,5206059.0
UNITED STATES OF AMERICA,Occupancy rate / bed-places,2017,65.9
UNITED STATES VIRGIN ISLANDS,Number of establishments,2017,43.0
UNITED STATES VIRGIN ISLANDS,Number of rooms,2017,4898.0
UNITED STATES VIRGIN ISLANDS,Occupancy rate / rooms,2017,47.3
URUGUAY,Number of establishments,2017,412.0
URUGUAY,Number of rooms,2017,16211.0
URUGUAY,Number of bed-places,2017,36311.0
URUGUAY,Average length of stay,2017,4.8
UZBEKISTAN,Number of establishments,2017,767.0
UZBEKISTAN,Number of rooms,2017,19977.0
UZBEKISTAN,Number of bed-places,2017,39933.0
"VENEZUELA, BOLIVARIAN REPUBLIC OF",Number of establishments,2017,4411.0
"VENEZUELA, BOLIVARIAN REPUBLIC OF",Number of rooms,2017,150387.0
"VENEZUELA, BOLIVARIAN REPUBLIC OF",Number of bed-places,2017,342343.0
"VENEZUELA, BOLIVARIAN REPUBLIC OF",Occupancy rate / bed-places,2017,40.99
"VENEZUELA, BOLIVARIAN REPUBLIC OF",Average length of stay,2017,7.55
VIET NAM,Number of establishments,2017,25600.0
VIET NAM,Number of rooms,2017,508000.0
VIET NAM,Occupancy rate / rooms,2017,56.5
ZAMBIA,Number of establishments,2017,1170.0
ZAMBIA,Number of rooms,2017,32483.0
ZAMBIA,Number of bed-places,2017,56922.0
ZAMBIA,Occupancy rate / rooms,2017,44.6
ZAMBIA,Occupancy rate / bed-places,2017,41.8
ZAMBIA,Average length of stay,2017,4.5
ZIMBABWE,Number of establishments,2017,96.0
ZIMBABWE,Number of rooms,2017,6483.0
ZIMBABWE,Number of bed-places,2017,12772.0
ZIMBABWE,Occupancy rate / rooms,2017,48.0
ZIMBABWE,Occupancy rate / bed-places,2017,35.0
ZIMBABWE,Average length of stay,2017,3.0
ALBANIA,Number of establishments,2018,1021.0
ALBANIA,Number of rooms,2018,30524.0
ALBANIA,Number of bed-places,2018,69395.0
ALBANIA,Occupancy rate / rooms,2018,17.53
ALBANIA,Occupancy rate / bed-places,2018,19.38
ALBANIA,Average length of stay,2018,2.43
ALGERIA,Number of establishments,2018,1368.0
ALGERIA,Number of bed-places,2018,119155.0
ALGERIA,Average length of stay,2018,1.67
ANDORRA,Number of establishments,2018,239.0
ANDORRA,Number of rooms,2018,11998.0
ANDORRA,Number of bed-places,2018,32903.0
ANDORRA,Average length of stay,2018,2.88
ANGOLA,Number of establishments,2018,238.0
ANGOLA,Number of rooms,2018,13427.0
ANGOLA,Number of bed-places,2018,17023.0
ANGOLA,Occupancy rate / rooms,2018,61.1
ANGOLA,Occupancy rate / bed-places,2018,52.3
ARGENTINA,Number of establishments,2018,15717.0
ARGENTINA,Number of rooms,2018,268199.0
ARGENTINA,Number of bed-places,2018,711101.0
ARGENTINA,Occupancy rate / rooms,2018,44.81
ARGENTINA,Occupancy rate / bed-places,2018,35.04
ARGENTINA,Average length of stay,2018,2.35
ARMENIA,Number of establishments,2018,1631.0
ARMENIA,Number of rooms,2018,15010.0
ARMENIA,Number of bed-places,2018,36534.0
ARMENIA,Occupancy rate / bed-places,2018,89.0
ARMENIA,Average length of stay,2018,11.0
ARUBA,Number of rooms,2018,11929.0
ARUBA,Number of bed-places,2018,23858.0
AUSTRALIA,Number of establishments,2018,5256.0
AUSTRALIA,Number of rooms,2018,284680.0
AUSTRALIA,Occupancy rate / rooms,2018,76.0
AUSTRIA,Number of establishments,2018,12003.0
AUSTRIA,Number of rooms,2018,292458.0
AUSTRIA,Number of bed-places,2018,615541.0
AUSTRIA,Occupancy rate / bed-places,2018,35.57
AUSTRIA,Average length of stay,2018,3.34
AZERBAIJAN,Number of establishments,2018,596.0
AZERBAIJAN,Number of rooms,2018,22192.0
AZERBAIJAN,Number of bed-places,2018,46693.0
AZERBAIJAN,Occupancy rate / bed-places,2018,18.0
AZERBAIJAN,Average length of stay,2018,1.72
BAHAMAS,Number of establishments,2018,310.0
BAHAMAS,Number of rooms,2018,17028.0
BAHAMAS,Number of bed-places,2018,34056.0
BAHAMAS,Occupancy rate / rooms,2018,57.36
BAHRAIN,Number of establishments,2018,130.0
BAHRAIN,Number of rooms,2018,18033.0
BAHRAIN,Number of bed-places,2018,25712.0
BAHRAIN,Occupancy rate / rooms,2018,45.0
BAHRAIN,Average length of stay,2018,1.95
BARBADOS,Number of rooms,2018,6657.0
BELARUS,Number of establishments,2018,604.0
BELARUS,Number of rooms,2018,20590.0
BELARUS,Number of bed-places,2018,38444.0
BELARUS,Occupancy rate / rooms,2018,57.48
BELARUS,Occupancy rate / bed-places,2018,30.79
BELARUS,Average length of stay,2018,2.15
BELGIUM,Number of establishments,2018,4170.0
BELGIUM,Number of rooms,2018,78954.0
BELGIUM,Number of bed-places,2018,199265.0
BELIZE,Number of establishments,2018,929.0
BELIZE,Number of rooms,2018,8435.0
BELIZE,Number of bed-places,2018,14094.0
BELIZE,Occupancy rate / rooms,2018,38.1
BELIZE,Average length of stay,2018,6.28
BENIN,Number of establishments,2018,1193.0
BENIN,Number of rooms,2018,16289.0
BENIN,Number of bed-places,2018,38317.0
BENIN,Occupancy rate / rooms,2018,27.69
BENIN,Occupancy rate / bed-places,2018,11.77
BENIN,Average length of stay,2018,5.51
BERMUDA,Number of establishments,2018,41.0
BERMUDA,Number of rooms,2018,2404.0
BERMUDA,Number of bed-places,2018,5113.0
BERMUDA,Occupancy rate / rooms,2018,63.7
BHUTAN,Number of establishments,2018,136.0
BHUTAN,Number of rooms,2018,3721.0
BHUTAN,Number of bed-places,2018,7167.0
"BOLIVIA, PLURINATIONAL STATE OF",Number of establishments,2018,1476.0
"BOLIVIA, PLURINATIONAL STATE OF",Number of rooms,2018,31442.0
"BOLIVIA, PLURINATIONAL STATE OF",Number of bed-places,2018,51179.0
BOSNIA AND HERZEGOVINA,Number of establishments,2018,668.0
BOSNIA AND HERZEGOVINA,Number of rooms,2018,17925.0
BOSNIA AND HERZEGOVINA,Number of bed-places,2018,37092.0
BOSNIA AND HERZEGOVINA,Occupancy rate / rooms,2018,27.0
BOSNIA AND HERZEGOVINA,Occupancy rate / bed-places,2018,23.6
BOTSWANA,Number of establishments,2018,933.0
BOTSWANA,Number of rooms,2018,12690.0
BOTSWANA,Number of bed-places,2018,25330.0
BOTSWANA,Occupancy rate / rooms,2018,42.0
BOTSWANA,Occupancy rate / bed-places,2018,27.7
BOTSWANA,Average length of stay,2018,1.8
BRUNEI DARUSSALAM,Number of establishments,2018,89.0
BRUNEI DARUSSALAM,Number of rooms,2018,4586.0
BRUNEI DARUSSALAM,Number of bed-places,2018,6604.0
BRUNEI DARUSSALAM,Occupancy rate / rooms,2018,34.1
BRUNEI DARUSSALAM,Average length of stay,2018,2.33
BULGARIA,Number of establishments,2018,2102.0
BULGARIA,Number of rooms,2018,124148.0
BULGARIA,Number of bed-places,2018,286219.0
BULGARIA,Occupancy rate / rooms,2018,58.1
BULGARIA,Occupancy rate / bed-places,2018,42.3
BULGARIA,Average length of stay,2018,3.47
BURKINA FASO,Number of establishments,2018,728.0
BURKINA FASO,Number of rooms,2018,12903.0
BURKINA FASO,Number of bed-places,2018,25395.0
BURKINA FASO,Occupancy rate / rooms,2018,31.01
BURKINA FASO,Occupancy rate / bed-places,2018,16.5
BURKINA FASO,Average length of stay,2018,1.98
CABO VERDE,Number of establishments,2018,284.0
CABO VERDE,Number of rooms,2018,13187.0
CABO VERDE,Number of bed-places,2018,21046.0
CABO VERDE,Occupancy rate / bed-places,2018,55.0
CABO VERDE,Average length of stay,2018,5.9
CAMBODIA,Number of establishments,2018,3083.0
CAMBODIA,Number of rooms,2018,81536.0
CAMBODIA,Number of bed-places,2018,142688.0
CAMBODIA,Occupancy rate / bed-places,2018,72.2
CAMEROON,Number of establishments,2018,2275.0
CAMEROON,Number of rooms,2018,37807.0
CAMEROON,Number of bed-places,2018,40001.0
CAMEROON,Occupancy rate / rooms,2018,29.04
